,ind,n,平均與外資同向12M,貢獻sum
0,航運業,153,-0.47540994137839704,-72.73772103089475
1,電腦及週邊設備業,471,-0.14419523247453905,-67.91595449550789
2,半導體業,1107,-0.04412346913560984,-48.844680333120095
3,金融業,457,-0.09451916897623415,-43.195260222139005
4,電子零組件,506,-0.040186788589052884,-20.33451502606076
5,其他電子業,168,-0.09837271620721712,-16.526616322812476
6,其他,120,-0.12823955512449203,-15.388746614939045
7,電子通路業,108,-0.12530064082551443,-13.53246920915556
8,光電業,182,-0.053099489321661676,-9.664107056542425
9,建材營造,74,-0.08294928412004948,-6.138247024883662
10,鋼鐵工業,118,-0.03986843423943373,-4.70447524025318
11,電機機械,105,-0.041870891229336626,-4.396443579080346
12,食品工業,72,-0.05457513260785117,-3.9294095477652844
13,汽車工業,94,-0.03998288761263161,-3.758391435587371
14,造紙工業,33,-0.10708553083138361,-3.5338225174356594
15,化學工業,54,-0.05838190973471446,-3.1526231256745807
16,水泥工業,66,-0.04612143580379288,-3.0440147630503303
17,運動休閒,131,-0.023170524871090982,-3.0353387581129185
18,貿易百貨,39,-0.06718017451558983,-2.620026806108003
19,紡織纖維,85,-0.028980205119810646,-2.463317435183905
20,塑膠工業,97,-0.02318553771124749,-2.2489971579910066
21,居家生活,31,-0.07050173287173714,-2.185553719023851
22,生技醫療業,117,-0.006508193298248193,-0.7614586158950386
23,橡膠工業,51,0.020256396581937116,1.0330762256787929
24,通訊網路業,204,0.015825218801259,3.2283446354568355
