horizon,group,n,mean,median,hit,t,p
1m,洋買土賣,12639,0.0069262030723128325,0.0,0.4954505894453675,7.555051435248894,4.4748001939818576e-14
1m,洋賣土買,11266,0.016521020541958947,0.007140452140452114,0.5369252618498136,15.935262007135908,1.4936874601619547e-56
1m,同買,11338,0.01526468843402117,0.0066040010543227945,0.531398835773505,14.870934963621371,1.4901808562396985e-49
1m,同賣,11525,0.007883400234809646,0.0021023280516951903,0.5074186550976139,8.067532595081078,7.883053671729702e-16
1m,無動作,82360,0.013917692631304268,0.0,0.4874575036425449,31.49915678489292,1.7396528985562004e-216
1m,全市場,311679,0.011027445374241756,0.0,0.4882972545471463,51.83615904781333,0.0
3m,洋買土賣,12501,0.02615225347895858,0.004921537778853624,0.5133189344852411,15.300721141322153,2.2533171705213797e-52
3m,洋賣土買,11178,0.03774623117741672,0.014151849107201797,0.5400787260690643,19.772064717968536,1.4884717830029657e-85
3m,同買,11274,0.03175971240935389,0.010156986946808,0.5280290934894447,16.659120791685314,1.4118659563248408e-61
3m,同賣,11317,0.029131820344850807,0.007005028149039472,0.5213395776265795,15.927103663178714,1.6863312075645804e-56
3m,無動作,81810,0.041618197628019486,0.00405227438056166,0.5112700158904779,48.10151906488572,0.0
3m,全市場,307698,0.03321185241776257,0.0028749671813567135,0.5061976353437462,82.50923910337454,0.0
6m,洋買土賣,12286,0.05076579033331562,0.012263672083069554,0.5267784470128601,19.222287580475022,3.725963462781863e-81
6m,洋賣土買,10979,0.06697559292745182,0.020246913580246995,0.5442207851352582,22.872059355788174,3.793123422064528e-113
6m,同買,11141,0.06242264076403884,0.019023136246786754,0.5397181581545643,22.081723959713184,8.640447442109492e-106
6m,同賣,10935,0.047551341625791256,0.007514277126540403,0.518609967992684,16.91697282239762,2.1528230224817003e-63
6m,無動作,80936,0.08507339106543307,0.01594408323832419,0.5351265197192844,61.576137982760194,0.0
6m,全市場,301810,0.06811262478691618,0.011358088789295118,0.5249594115503131,107.93919956537246,0.0
12m,洋買土賣,11689,0.08489520085345317,0.013612950699043447,0.5185216870562067,21.223452523470957,4.067473296155751e-98
12m,洋賣土買,10441,0.13600465482879134,0.04436728395061729,0.562589790249976,26.43909834503769,3.6921585628075146e-149
12m,同買,10797,0.12534140718300466,0.037082578307015224,0.5520978049458183,26.935060985160618,1.0302361333555549e-154
12m,同賣,10392,0.09857372877421128,0.021717724198307864,0.5322363356428021,20.41611754818498,7.191664545433979e-91
12m,無動作,79438,0.17833581327858786,0.04586019121676155,0.5647297263274503,77.93656512712691,0.0
12m,全市場,290168,0.14256846760854344,0.033956767084181494,0.5500330842822089,134.93740095165288,0.0
