ind,n,與外資同向12m報酬%
航運業,603,-15.786749245616436
電腦及週邊設備業,1462,-6.687425556903653
電子零組件,1692,-5.410298900570259
其他,493,-4.751835948331391
電子通路業,312,-4.43028940654894
其他電子業,633,-3.256398507729167
塑膠工業,423,-2.4317507189095244
居家生活,129,-2.414502461416456
光電業,916,-2.403616955935049
金融業,1620,-2.3501992531482263
鋼鐵工業,380,-2.170477011837613
汽車工業,451,-2.13920203182005
半導體業,3161,-2.0426730120668624
油電燃氣業,112,-1.0856533402594815
化學工業,257,-0.949850607099334
生技醫療業,386,-0.4050450432761589
觀光餐旅,114,-0.300155857798293
水泥工業,228,-0.28888287921777445
造紙工業,102,-0.23260789241243107
貿易百貨,202,-0.12925134403002062
通訊網路業,808,0.028506794380551866
建材營造,437,0.8652291767842992
食品工業,318,0.9704206847340138
紡織纖維,380,1.1256564509241351
橡膠工業,221,1.128623297260599
運動休閒,407,2.731356899511279
電機機械,417,3.3097422100571885
