買方,市值層,horizon,n,勝率,平均報酬
外資買方,小型,1m,379,0.5329815303430079,0.024226632590500813
外資買方,中型,1m,3682,0.5019011406844106,0.01021710435131692
外資買方,大型,1m,8578,0.49102354861273023,0.004749243256891252
外資買方,全部,1m,12639,0.4954505894453675,0.0069262030723128325
投信買方,小型,1m,248,0.4596774193548387,0.00474932745390288
投信買方,中型,1m,2703,0.5164631890492046,0.017682655379970217
投信買方,大型,1m,8315,0.5458809380637403,0.016494499906804818
投信買方,全部,1m,11266,0.5369252618498136,0.016521020541958947
外資買方,小型,3m,374,0.5320855614973262,0.04943181525927873
外資買方,中型,3m,3661,0.4963124829281617,0.02826244683090967
外資買方,大型,3m,8466,0.5198440822111977,0.0242113163224109
外資買方,全部,3m,12501,0.5133189344852411,0.02615225347895858
投信買方,小型,3m,248,0.4798387096774194,0.02285362316261222
投信買方,中型,3m,2696,0.5155786350148368,0.04084597517575216
投信買方,大型,3m,8234,0.5499149866407579,0.0371798548072636
投信買方,全部,3m,11178,0.5400787260690643,0.03774623117741672
外資買方,小型,6m,371,0.5336927223719676,0.08182127553934246
外資買方,中型,6m,3626,0.5118587975730833,0.044779907908639255
外資買方,大型,6m,8289,0.5329955362528652,0.051994313033332594
外資買方,全部,6m,12286,0.5267784470128601,0.05076579033331562
投信買方,小型,6m,247,0.5020242914979757,0.08211080846568483
投信買方,中型,6m,2674,0.49850411368735975,0.05416137224275608
投信買方,大型,6m,8058,0.5606850335070737,0.0707639806009357
投信買方,全部,6m,10979,0.5442207851352582,0.06697559292745182
外資買方,小型,12m,351,0.5071225071225072,0.13779431219683017
外資買方,中型,12m,3478,0.4968372627947096,0.07864867716866501
外資買方,大型,12m,7860,0.5286259541984732,0.08529695928782567
外資買方,全部,12m,11689,0.5185216870562067,0.08489520085345317
投信買方,小型,12m,244,0.5,0.14561290450754624
投信買方,中型,12m,2581,0.5156915924060441,0.11031307376825475
投信買方,大型,12m,7616,0.5804884453781513,0.14440349382506612
投信買方,全部,12m,10441,0.562589790249976,0.13600465482879134
